会社名,資本金,売上高,代表者,ホームページ,メールアドレス,連絡先
株式会社メディアトラスト,5500万円,"3億3800万円（2008年5月期実績） 5億4700万円（2009年6月期実績） 6億3400万円（2010年6月期実績） 6億4800万円（2011年6月期実績） 7億8100万円（2012年6月期実績） 7億8300万円（2013年6月期実績） 9億6400万円（2014年6月期実績）10億3500万円（2015年6月期実績）10億9600万円（2016年6月期実績）12億円（2017年6月期実績）『10期連続での増収記録を更新中！』","代表取締役　鬼頭 宏彰地元の流通業で6年勤務した後、学生時代からの車好きが高じて、1999年に中古車販売で独立起業。現在に至る。仕事もプライベートも何事も全力！そんな今も2年前に「学び」を思い立ち大学院に通う現役の”学生”でもあります。",,,"株式会社メディトラスト総務部 採用チーム　橋爪 琴美（はしづめ ことみ）【本社】〒465-0054愛知県名古屋市名東区高針台1-110TEL:052-734-3091　FAX:052-734-3092"
株式会社シュテルン三重,2000万円,,代表取締役　橋本　みどり,http://www.stern-mie.co.jp,,"株式会社シュテルン三重〒510-0885 三重県四日市市日永4-1-54059-340-6500／採用担当　千葉 HP：http://www.stern-mie.co.jp/"
モバイルシステム株式会社,100万円,10億5800万円　（2016年度実績）10億1600万円　（2015年度実績）10億5500万円　（2014年度実績）,"代表取締役　河村 朝尾",,,"モバイルシステム株式会社 愛知県西春日井郡豊山町豊場神戸115 0568-54-7218／採用担当まで"
スーパーサンシ株式会社,1億6188万円,250億円（スーパーサンシ株式会社）413億円（サンシグループ総計）※2016年度実績,代表取締役社長　植杉　好英,http://sanshi.jp,saiyou@sanshi.jp,"スーパーサンシ株式会社〒513-0806三重県鈴鹿市算所二丁目5番1号TEL：059-373-4034営業企画課　採用担当／坂倉 URL：http://sanshi.jp/ E-mail：saiyou@sanshi.jp"
株式会社万歳家具,1000万円,20億円,"川島 勉",http://www.mansaikagu.com/,,〒493-0002愛知県一宮市木曽川町門間字角田35株式会社万歳家具本社TEL：0586-87-0143担当者：後藤
株式会社メディアショップ古川,1000万円,205993154,代表取締役　角田健治,,,"株式会社メディアショップ古川〒989-6171宮城県大崎市古川北町2-2-41採用担当：人事／後藤TEL： 0229-24-6800"
株式会社ハローズ,31億1414万円,営業収益　1147億円(2017年2月期),代表取締役社長　佐藤　利行,http://www.halows.com,saiyou@halows.co.jp,〒701-0393岡山県都窪郡早島町早島3270番地1株式会社ハローズ本部　人事教育部採用担当：竹嶋・浅田・田島・西村・木村TEL：086-483-2782（直通）E-mail：saiyou@halows.co.jpURL：http://www.halows.comハローズ採用Facebook：http://www.facebook.com/halows.saiyou
株式会社ジェーソン,3億2030万円,,代表取締役社長兼会長　太田　万三彦,http://www.jason.co.jp,recruitjason@jason.co.jp,"株式会社ジェーソン〒277-0921　千葉県柏市大津ヶ丘2-8-5 採用担当／総務人事部　鈴木TEL: 04-7192-2040（直通）【メールアドレス】recruitjason@jason.co.jp【ホームページ】http://www.jason.co.jp/【本社アクセス】JR常磐線「柏駅」東口バス乗場（６）より、阪東バス「大津ヶ丘団地行」・「東我孫子車庫行」バス乗車（12分程）、「新中井」バス停にて下車、徒歩2分"
株式会社葉栗オートショップ,1000万円,10億9300万円(2017年3月実績)、10億1400万円(2016年3月実績)★2016年の年間販売台数は約1500台。軽自動車から輸入車まで幅広い取り扱いがあります。,代表取締役社長／梶川　幹生,,,"株式会社葉栗オートショップ愛知県一宮市木曽川町外割田伊勢田116 0586-87-5070／梶川"
株式会社デザイン,54000000円（2016年3月末現在　グループ総計）,25.5億円（2015年度）24億円(2014年度)19億円(2013年度),平林　義行,,saiyo@design-inc.jp,"〒163-0232 東京都新宿区西新宿2-6-1 新宿住友ビル32階 TEL : 03-6891-0508E-mail : saiyo@design-inc.jp"
エフコープ生活協同組合,,,"理事長　　 篠田 陽二（シノダ　ヨウジ）専務理事　堤 新吾（ツツミ　シンゴ）",http://www.fcoop.or.jp,,〒811-2495福岡県糟屋郡篠栗町大字篠栗4826-1エフコープ生活協同組合人事部　人財開発課　担当　岩田、井上ＴＥＬ：092-947-9002ＵＲＬ　http://www.fcoop.or.jp/アクセス　ＪＲ福北ゆたか線　「篠栗」駅より徒歩5分
株式会社エクストリンク,4678万円,132億1231万円（2017年4月度実績）105億728万円（2016年4月度実績）73億2069万円（2015年4月度実績）72億7450万円（2014年4月度実績）51億7699万円（2013年4月度実績）37億4115万円（2012年4月度実績）24億6300万円（2011年4月度実績）,代表取締役　廣瀬　雄一,http://www.extlink.co.jp,shinsotsu@extlink.co.jp,"≪大阪本社≫〒530-0057大阪市北区曽根崎2-3-5　梅新第一生命ビルディング16階【TEL】※お問い合わせは直通番号にお願いします。（直通）　06-7175-7130（代表）　06-6362-1371≪東京本社≫〒160-0022 　東京都新宿区新宿4-3-25　TOKYU REIT新宿ビル9F【TEL】※お問い合わせは直通番号にお願いします。（直通）　06-6362-4382（代表）　03-5362-3251【MAIL】shinsotsu@extlink.co.jp【URL】http://www.extlink.co.jp/recruiting/"
株式会社ナック,5000万円,84億7130万円（2015年3月期）,代表取締役社長　難波克年,http://www.i-nac.co.jp,,〒652-0806　神戸市兵庫区西柳原町4-8TEL:078-685-0085採用担当:近久(チカヒサ)、里見(サトミ)personnel@i-nac.co.jp◆URL　http://www.i-nac.co.jp/◆JR神戸線「兵庫駅」から徒歩5分
"株式会社 クロスメディア-アイ",200万円,8億3千万円(平成27年4月時点),倉富　真人,,,株式会社クロスメディア-アイ　auショップ大刀洗採用担当　福岡県三井郡大刀洗町鵜木1424-470942-77-1050
株式会社ベイビッシュハート,600万円,会社規定により非公開,"代表取締役　大崎　義宏これまでフリーランスのディレクターとして様々なバラエティ番組を企画・制作してきました。番組で欠かせないＡＤさんが、夢半ばで去っていく姿を見てきてＡＤさんの夢を叶える場が必要だと思い「ＢＡＢＹＩＳＨ ＨＥＡＲＴ」を立ち上げました。普通の制作会社と違い、ＡＤさん第一優先です！今後は、ＡＤさんの成長と共に会社も大きくしていければと考えています。",,recruit@babyishheart.com,"〒107-0052東京都港区赤坂7-6-15 赤坂ロイヤルビル308株式会社ベイビッシュハート　採用担当E-MAIL　recruit@babyishheart.comTEL　03-5572-7900 ※営業電話はご遠慮下さい"
"株式会社Class F",非公開,5000万円（2014年1月）,武市正尋,,,代表取締役武市　正尋090－1173－6481
株式会社ヨシヅヤ,2億6000万円,611億円（平成28年7月期実績）,伊藤彰浩+-That's　Yoshizuyaism.『社長からのメッセージ』---------+++競合他社に打ち勝ち、厳しい時代を生き残っていくためには、ハングリー精神がある人材の採用と、彼らの活躍が不可欠だと思う。素直でチャレンジ精神あふれる行動力のある同志に集って欲しい。+++--------------------------------+,http://www.yoshizuya.com,,〒496-8501愛知県津島市新開町1-6本社TEL:0567-23-7100採用事務局:052-218-6283　※学生の方用の窓口E-mail:recruit@yoshizuya.infoホームページURL:http://www.yoshizuya.com
株式会社エリアフォース,1000万円,34億7018万円（平成28年度実績）←34億3416万円（平成27年度実績）※グループ総取扱高／69億2743万円（平成28年度実績）←65億7993万円（平成27年度実績）,,,areajinji@tw-area.co.jp,"株式会社エリアフォース　新卒担当 MAIL：areajinji@tw-area.co.jp TEL：0120-999-179（平日10：00～18：00） ＜総括本部＞〒110-0016 東京都台東区台東3-42-7　松田商事ビル4Ｆ　　　＜本　　　社＞〒330-0802埼玉県さいたま市大宮区宮町2-35　大宮ＭＴビル5Ｆ"
株式会社セレクション,3000万円,132億円（2017年3月度実績）,"代表取締役 山崎洋介",http://foods-selection.co.jp/index.html,,株式会社セレクション〒272-0132千葉県市川市湊新田1丁目6番8号新卒採用担当TEL：047-390-3336
イングホールディングス株式会社,2000万円,グループ総取扱高／69億2743円（2016年実績）,"代表取締役社長　森 義之",,,イングホールディングス株式会社　キャリア事業部〒110-0015　東京都台東区東上野1-14-4野村不動産上野ビル9階A03-6895-4134／キャリア事業部採用担当
株式会社相互移動通信,2億2000万円,56億円（平成28年3月期）,代表取締役　　池崎　正典,http://www.sougo-idou.co.jp,,"株式会社　相互移動通信〒921-8027石川県金沢市神田2-2-29　相互神田ビル076-280-0303URL: http://www.sougo-idou.co.jp/スマートフォンはこちら：http://www.sougo-idou.co.jp/sp"
株式会社タイヨー,3400万円,2017年9月期／995億円2016年9月期／944億円2015年9月期／879億円2014年9月期／821億円2013年9月期／771億円,"代表取締役社長　森田 剛",http://www.taiyo-otoku.com,,＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝≪　株式会社タイヨー　≫〒314-0144　茨城県神栖市大野原4-7-1TEL：0299-77-7657　採用担当<HP>http://www.taiyo-otoku.com/index.php＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
兼松コミュニケーションズ株式会社,14億2500万円,"2017年3月期 129694百万円2016年3月期 139065百万円2015年3月期 133185百万円","代表取締役社長　菊地 孝",http://www.kcs.ne.jp,jinji@kcs.ne.jp,"┘┘┘┘┘┘┘┘┘┘┘┘┘┘┘┘┘┘┘人事部　新卒採用担当　〒151-8601　東京都渋谷区代々木3-22-7 新宿文化クイントビル3階ＴEL: 0120-77-2650 mail: jinji@kcs.ne.jpHP:http://www.kcs.ne.jp/┘┘┘┘┘┘┘┘┘┘┘┘┘┘┘┘┘┘┘"
株式会社パスポート,9900万円,320億円（2016年3月期実績）294億円（2015年3月期実績）264億円（2014年3月期実績）240億円（2013年3月期実績）209億円（2012年3月期実績）195億円（2011年3月期実績）178億円（2010年3月期実績）,濱田　総一郎,http://www.passport-net.co.jp,saiyou@passport-net.co.jp,"株式会社パスポート　人事部企画採用課〒216-0011　神奈川県川崎市宮前区犬蔵1-23-13人事総務部　企画採用課TEL:044-975-4800 E-mail saiyou@passport-net.co.jp（お問い合わせもお気軽に）当社ホームページ　http://www.passport-net.co.jp/ 田園都市線 宮前平駅 1番4番乗り場から生田行き、聖マリアンナ医大行き、鷲ヶ峰営業所行き乗車、菅生車庫下車、道路向かい。"
株式会社ベイシア,30億9950万円,2880億円(2014年2月実績)★設立当初（1997年）の売上高は750億円。,代表取締役社長　橋本浩英,http://www.beisia.co.jp,bs-saiyou@beisia.co.jp,群馬県前橋市亀里町900　〒379-2187　人事部採用グループ　TEL:027-210-0011　FAX:027-210-0118E-mail:　bs-saiyou@beisia.co.jphttp://www.beisia.co.jp/
株式会社フジテレコムズ,"8800万円 (授権資本１億1000万円)","・　73億円　　　　　（2017年3月末実績）・ 79億円 　　　　　（2016年3月末実績）・ 87億円　　　 　　（2015年3月末実績）・105億9800万円　（2014年3月末実績）・ 91億3100万円　（2013年3月末実績）・ 79億 100万円 （2012年3月末実績）・ 67億6400万円　（2011年3月末実績）※現在、関西を中心に20店舗開設していますが、今後も多数の出店を計画中。　また携帯電話販売市場だけでなく、グッズ販売などのショップ支援サービス、　携帯サイトビジネス、法人向けサービスにも力を入れ、より大きな事業拡大を目指しています。◆実質無借金経営の強固な経営基盤を築いています。",代表取締役社長　八川　徹,,,"株式会社フジテレコムズ〒542-0081 大阪市中央区南船場1－11－26　長堀フジビルTEL：06-6264-2226（直通）　本社総務・人事担当／坂元（サカモト）"
株式会社三徳,8800万円　※連結ベース1億5170万円,430億円(2015年2月期連結ベース),代表取締役社長　堀内　謙介,,santoku@access-t.co.jp,〒169-8550　東京都新宿区大久保2-1-1　人事部／新卒採用担当　Ｅメール　：santoku@access-t.co.jp　フリーダイヤル　：0120-07-3109
株式会社ワイズ,非公開,,代表取締役社長　山崎義文,,,株式会社ワイズ〒110-0016東京都台東区台東1-11-9　上西ビル3F採用担当TEL/03-5812-4351
株式会社一関ケーブルネットワーク,3億6800万円,3億704万円（平成28年6月実績）,"代表取締役　山岸 学",,icn-simizu_yu@icn-net.ne.jp,株式会社一関ケーブルネットワーク〒021-0871岩手県一関市八幡町1-24局長　清水祐喜TEL：0191-21-1256FAX：0191-21-2959E-mail：icn-simizu_yu@icn-net.ne.jp
株式会社ヤスサキ,1億1100万円（グループ合計）,235億円,"代表取締役会長　安崎 政士代表取締役社長　安崎 昌治",,,坪田・柳原まで☆TEL：0776-52-8111info@yasusaki.co.jp
株式会社コスモネット,"5億6600万円（うち資本剰余金 4億6600万円を含む）","　　　決算期　　　　　　売上高 ――――――――――――――――― 　2009年3月期　　222億9000万円 　2011年3月期　　355億5261万円 　2013年3月期　　646億7700万円 　2015年3月期　　728億6900万円　2016年3月期　　800億600万円(※グループ計)","代表取締役　三上 明",http://www.cosmonet.ne.jp,recruit-02@cosmonet.ne.jp,"【業務管理統括本部　人事グループ】 ■所在地：◎京都本社 ／京都市中京区烏丸通四条上る笋町689番地 TEL：075-212-3962◎東京本社／東京都港区新橋2-6-2 TEL：03-5157-1222■E-mail：recruit-02@cosmonet.ne.jp■URL http://www.cosmonet.ne.jp/ ご連絡はメールでいただきますようお願いいたします。"
株式会社魚喜,9億4103万円,（2017年2月期）売上高135億400万円（2016年2月期）売上高133億7900万円（2015年2月期）売上高135億900万円,代表取締役社長　有吉　喜文,http://www.uoki.co.jp/,saiyou_ukhy@uoki.co.jp,株式会社魚喜〒252-0804神奈川県藤沢市湘南台2-10-5人事課　採用担当TEL：0466-45-9859e-mail：saiyou_ukhy@uoki.co.jp
富士経済グループ（株式会社　富士経済/株式会社　富士キメラ総研）,2000万円,12億8300万円(2017年6月期),"株式会社 富士キメラ総研 代表取締役 田中一志",https://fk-m.co.jp,,"株式会社　富士経済〒103-0001東京都中央区日本橋小伝馬町1番５号　PMO日本橋江戸通電話　03-3664-5695採用担当/人事部　小田桐〒541-0043大阪市中央区高麗橋3-3-11　淀屋橋フレックスタワー電話　06-6228-2020（代）採用担当/大阪マーケティング本部　梅津株式会社　富士キメラ総研〒103-0001 東京都中央区日本橋小伝馬町1番５号　PMO日本橋江戸通電話　03-3664-5839採用担当/人事部　新卒係当社グループURL　https://fk-m.co.jpぜひ当社グループHPもご覧ください!"
株式会社オグラ,1億9000万円　（グループ合計）3500万円　（株式会社オグラ）,"グループ合計売上高　　 61.0億円(2015年2月期 南旺グループ実績)株式会社オグラ　　　　 　 41億円(2015年2月期)株式会社プラザアイ　　　 4億円(2015年2月期)",代表取締役社長　小倉　信典,http://www.ogura-megane.co.jp,saiyou@ogura-megane.co.jp,"南旺グループ【株式会社オグラ】管理本部人事課　　採用担当〒102-0093東京都千代田区平河町2-11-1　平河町ロンステート5F　電話：03-3263-6878FAX：03-3263-6899E-mail：saiyou@ogura-megane.co.jp URL：　http://www.ogura-megane.co.jp"
株式会社アクエス,1000万円,6億3000万円（2014年9月実績）,代表取締役　松本徹,http://www.accues.co.jp/,,株式会社アクエス〒670-0974　兵庫県姫路市飯田1-157採用担当　岡本TEL：079-233-5900
株式会社タケダ,1000万円,9億1000万円（2016年1月実績）,"代表取締役　武田 康裕",http://www.kitadoco.jp,saiyou@kitadoco.com,"◆・：・◆・：・◆・：・◆・：・◆・：・◆・：・◆・：・◆　〒760-0068　株式会社タケダ　香川県高松市松島町2丁目14-43　TEL: 087-868-6688　ＵＲＬ：http://www.kitadoco.jp/　Eメール：saiyou@kitadoco.com　採用担当：森・網谷◆・：・◆・：・◆・：・◆・：・◆・：・◆・：・◆・：・◆"
株式会社ＳＲＣ,1000万円（グループ合計4億82万円※資本準備金含む）,,"横山　剛（よこやま　たけし）  昭和40年9月2日生　趣味はラグビー（未だ現役）、他スポーツ観戦 甲南大学文学部卒　神戸大学大学院修了　経営学修士（MBA) 神戸大学大学院　経営学研究科　博士課程後期（Ph.D.）在学中 　 神戸大学、流通科学大学、神戸学院大学等で客員教授、非常勤講師を歴任 2017年4月より、近畿大学、神戸芸術工科大学、流通科学大学にて客員教授、非常勤講師を行う座右の銘は、「人間万事塞翁が馬」　尊敬する人は冒険家、故植村直己さん ブログ http://blog.src-japan.net/ Face book http://www.facebook.com/takeshi.j.yokoyama twitter https://twitter.com/Take_Yokoyama",,,〒650-0021兵庫県神戸市中央区三宮町2-7-4神戸日興ビル7ＦTEL：078-393-3077担当/新卒採用係
株式会社スーパー大栄,1億円,175億円（2017年2月実績）,"代表取締役社長　松島 三秋",,,"株式会社スーパー大栄〒807-0823　北九州市八幡西区中須1-1-7TEL.：093-602-4689 （人事直通）採用担当：井上・小山"
"株式会社 中日販売研修センター",1000万円,31億6859万円（2016年実績）,"代表取締役　古田 博史",,,中日新聞社　販売局　中日販売研修センター販売促進部　採用担当〒460-8511　名古屋市中区三の丸1-6-1TEL　052-221-0963
コールテック株式会社,1000万円,6億45百万円（2016年9月度決算）,代表取締役　小幡早苗,,,コールテック株式会社〒981-1105宮城県仙台市太白区西中田7丁目10-8担当　小幡　浩司TEL：022-306-3235
中部オプチカル株式会社,1000万円,47.7億円（H29.2月決算）,竹内　詮吉,,takeda@megane-akafudado.com,中部オプチカル株式会社総務部/武田　芳明〒480-0102　愛知県丹羽郡扶桑町高雄字伊勢帰97TEL：0587-93-8120Mail：takeda@megane-akafudado.com
株式会社ツルハグループドラッグ＆ファーマシー西日本,2億8750万円,782億円（2015年5月期実績）540億円（2014年3月期実績）511億円(2013年3月期実績)497億円(2012年3月期実績)478億円(2011年3月期実績)471億円(2010年3月期実績),代表取締役会長　木嶋　敬介代表取締役社長　村上　正一,http://www.tsuruha-hd.co.jp,tgnjinji@tgn.tsuruha-gr.jp,"株式会社ツルハグループドラッグ＆ファーマシー西日本 〒733-0841 広島市西区井口明神1-1-10 【全学部・全学科対象】担当：浦田(ウラタ)、大元（オオモト）、永安（ナガヤス） TEL:0120-871-715 Email:tgnjinji@tgn.tsuruha-gr.jp【薬学部対象】担当：吉田(ヨシダ)、末田（スエダ）、杉本(スギモト)TEL:0120-871-715 Email:tgnjinji@tgn.tsuruha-gr.jpHP:http://www.tsuruha-hd.co.jp/drag_and_pharmacy_west"
株式会社ベルジョイス,10億5227万円,772億円　（2016年2月末現在）,"代表取締役名誉会長兼ＣＥＯ　遠藤　須美夫代表取締役会長　　　　　　　　 小苅米 秀樹 代表取締役社長　　　　　　　　　澤田　司",,,株式会社ベルジョイス〒020-8567　盛岡市羽場10-100-3採用フリーダイヤル：0120-935-956ＴＥＬ　019-614-0318saiyou-tyuto@jois.co.jp人事部　採用担当　小倉、圓子（まるこ）
有限会社モーターハウス　アサノ,1500万円,2億8000万円（2017年3月期）,代表取締役　浅野公一郎,,,"有限会社モーターハウス　アサノ 〒132-0024　東京都江戸川区一之江3-24-3 新卒採用担当　浅野TEL 03-3656-2657 ※お問い合わせは、ホームページの「お問い合わせフォーム」より連絡ください。"
株式会社マミーマート,26億6020万円,1010億1300万円（2016年9月決算　連結）,代表取締役社長　岩崎裕文,,saiyou@mammymart.co.jp,〒331-0812埼玉県さいたま市北区宮原町2-44-1(株)マミーマート　人事部　谷部TEL:048-654-2513（直）MAIL:saiyou@mammymart.co.jp※会社説明会および第一～三次選考の参加に関するお問い合わせは、下記専用番号にお願いいたします。TEL:0120-106-769（フリーダイヤル）
株式会社アィ・シィ・ピー,4400万円,16億877万円（2017年3月実績）,代表取締役社長　豊泉　未知洋,,,株式会社アィ・シィ・ピー採用担当宛〒921-8803石川県野々市市押越2-49-1TEL：076-248-2221
ヒビノメディアテクニカル株式会社,3500万円,24億6000万円（2015年度）,代表取締役社長　中島　義人,http://www.media-t.co.jp/,recruit@media-t.co.jp,"ヒビノメディアテクニカル株式会社〒135-0062東京都江東区東雲2-9-23管理部　採用担当TEL：03-6457-2063E-mail: recruit@media-t.co.jpURL: http://www.media-t.co.jp/"
株式会社木谷仏壇,5600万円,20億円（2015年4月期実績）,代表取締役会長　岡本博文,,,■■■　株式会社　木谷仏壇　丸亀本店■■■　香川県丸亀市田村町1268■■■　TEL:0877-23-6767■■■　Network：高松/綾川/丸亀/善通寺/観音寺/三豊高瀬/三島川之江/新居浜/今治新卒採用に関する質問は【岡本】までご連絡下さい。
マサニ電気株式会社,3000万円,24億円（2014年5月期実績）25億円（2015年5月期実績）35億円（2016年5月期実績）,"代表取締役　富士元 克敏",,,"本社／人事採用担当〒650-0022 兵庫県神戸市中央区元町通1-6-12 元町スタービル3ＦTEL：078-333-3810"
"株式会社ジン デザイン ジャパン",1460万円,"5億円(2017年3月期実績) ","代表取締役　寺澤　勇一郎 ＊今年46歳。社員達に負けない位、勢いがあって活動的！ ＊ブログも毎日更新しています！　＜ブログ＞http://www.jin-design.jp/msg/",,,"株式会社フォース 新卒採用チーム＜立川本社＞ 〒190-0012東京都立川市曙町2-9-1　菊屋ビル9FＴＥＬ/042-540-7971　　ＦＡＸ/042-540-7972新卒採用担当迄"
ニコル・カーズ合同会社,9780万円,非公開,"CEO　C.H. 二コ ローレケ",http://www.nicole-bmw.co.jp/jp/nicole-bmw/ja/index.html,,"ニコル・カーズ合同会社〒212-0005 神奈川県川崎市幸区戸手2-5-7人事部・採用担当　永井TEL：044-272-5523"
株式会社ジョブエックス,1000万円,7億1900万円（平成27年度実績）,代表取締役　山下達也,,okamoto@jobx.co.jp,〒107-0051東京都港区元赤坂１－１－１６　東京元赤坂ビル５F交通：東京メトロ銀座線・丸の内線「赤坂見附駅」B3出口より徒歩3分TEL：０３（６４４７）５６１５E-mail：okamoto@jobx.co.jp
トライアルグループ,21億2335万300円（トライアルカンパニー）,"3639億円 （2016年3月　グループ連結）● 10年で約3倍の成長を遂げました！● 2026年までに3兆円企業を目指します！",代表取締役社長　楢木野　仁司,http://www.trial-net.co.jp,recruit@trial-net.co.jp,〒813-0034　福岡県福岡市東区多の津1-12-2株式会社トライアルグループ人事部新卒採用課　TEL　092-626-5550HP　http://www.trial-net.co.jpMAIL　recruit@trial-net.co.jp※お問い合わせの受付は株式会社トライアルグループで行っております。
株式会社あとらす二十一【制作専門コース≪Webデザイナー・Webプロデューサー・フロントエンジニア職≫】,1億円,,代表取締役　井上恒郎,http://at21.jp,jinji@at21.jp,"〒163-0428東京都新宿区西新宿2-1-1新宿三井ビル28F株式会社あとらす二十一担当/人事部　採用担当【TEL】 　 03-6832-2121（代表）　【MAIL】 jinji@at21.jp【URL】　　http://at21.jp/"
株式会社くすりの福太郎,9800万円,"　　　　　売上高　　　-------------------2017年 5月　　622億円2016年 5月　　611億円2015年 5月　　566億円2014年 5月　　523億円2013年 5月　　477億円2012年 5月　　446億円2011年 5月　　421億円　2010年 5月　　386億円2009年 5月　　363億円2008年 5月　　350億円　　",代表取締役社長　小川　久哉,http://www.kusurinofukutaro.co.jp,saiyo-fukutaro@tsuruha.co.jp,"〒273-0107　千葉県鎌ケ谷市新鎌ケ谷2-8-17　新鎌ケ谷Fタワー8F人材採用部　進藤・山路・森本・関口TEL:047-444-4129E-MAIL:saiyo-fukutaro@tsuruha.co.jpＵＲＬ　http://www.kusurinofukutaro.co.jp/交通機関 東武アーバンパークライン(旧：東武野田線) 新京成線 北総公団線 「新鎌ヶ谷駅」 徒歩4分"
有限会社　岩見商事,1000万,44300万円（2017年5月実績）,代表取締役　多田　昭文,http://www.yuagari-honpo.jp,u-iwami@coffee.ocn.ne.jp,"有限会社　岩見商事　担当/多田住所：〒874-0931　大分県別府市西野口町6-5TEL:0977-25-3353 　FAX:0977-25-3373Mail:u-iwami@coffee.ocn.ne.jp"
小田安全硝子株式会社,20000000円,1500000円（金額単位1000円）（平成28年度）,"代表取締役 山田 昭二郎",http://www.odasg.co.jp/,,"小田安全硝子株式会社住所：〒670-0824 兵庫県姫路市京町1丁目62TEL：0792-84-6200（代）　FAX：0792-84-7770"
"株式会社 ホンダクリオ上尾",2500万円,57億円（平成28年3月期）,"代表取締役社長　江川 甲子雄",http://www.hondacars-okegawa.co.jp/,,"株式会社 ホンダクリオ上尾〒363-0008　埼玉県桶川市坂田1633-1TEL：048-775-2774　FAX：048-775-3081m-fuku.cst03@honda-auto.ne.jp"
株式会社アイアイイスズHD,1000万円,グループ全体　３０億円,代表取締役　飯間康行,,mitsuno@eye-eye-isuzu.co.jp,"株式会社アイアイイスズHD〒761-8075香川県高松市多肥下町1523-1電話番号 087-864-5225　E-mail mitsuno@eye-eye-isuzu.co.jp担当者　満野・小西"
株式会社アイエー,3億円,211億円　※2016年3月期,"代表取締役社長　小熊 孝",,iasaiyou@i-a.co.jp,株式会社アイエー〒244-0801神奈川県横浜市戸塚区品濃町545-5TEL:045-821-7500（本社）メール：iasaiyou@i-a.co.jp採用窓口／アイエーグループ株式会社　辻田・井東
株式会社MONARIOキャピタルフーズ,55万円,1億7000万円,代表取締役　高田　智徳,http://www.monario.jp/,,株式会社MONARIOキャピタルフーズ〒869-5442熊本県芦北郡芦北町花岡309-54採用担当TEL：0966-82-2033
株式会社八広社,2000万円,16億4117万円(2016年度実績)グループ総取扱高／69億2743万円(2016年度実績),小浜　真有美,,hakkosya@ii-jinji.com,八広社　採用担当E-mail：hakkosya@ii-jinji.comTEL:03-3839-5021〒110-0016東京都台東区台東3-42-7　松田商事ビル3Ｆ
KeePer技研株式会社,"13億4516万円 (2017年6月末 現在)",69億9935万円(2017年6月期),代表取締役社長　谷好通,http://www.keepercoating.jp,,"KeePer技研株式会社●http://www.keepercoating.jp/corp/company/●saiyo@itacgiken.co.jp【東日本採用窓口】東京都葛飾区西新小岩5-26-12TEL:03-5654-1018東日本支社　採用担当　岩崎・小川【西日本採用窓口】愛知県大府市吉川町4-17 TEL:0562-45-5258西日本支社　採用担当　岩崎・水谷"
株式会社ジャパンエディターズユニオン,1000万円,4億円(2016年度実績),代表取締役　野口道夫,,,"株式会社ジャパンエディターズユニオン〒107-0052 東京都港区赤坂3-13-3 赤坂セントラルビル4FTEL：03-3505-7513FAX：03-5570-7406採用担当R係"
高橋自動車株式会社,1000万円,非公開,高橋　光晴,http://takahashi-car.com/,,"高橋自動車株式会社〒369-0306埼玉県児玉郡上里町七本木2913-2採用担当　高橋 幸雄又は相川TEL:0495-33-2048"
株式会社クラリシオン,3000万,2億円,代表取締役　柴田猛司,,,株式会社クラリシオン〒107-0052　東京都港区赤坂7-6-9　赤坂ONビル301採用担当　柴田猛司TEL：03-3585-0093
株式会社アイキューブ・マーケティング,300万円,8億4800万円（2016年10月期実績）,"代表取締役社長　岩上 直也",http://icube-m.com/index.html,,株式会社アイキューブ・マーケティング〒105-0022東京都港区海岸2丁目1-18　高丸ビル7階採用担当TEL：03-3453-4252
株式会社市川自動車,2000万円,7.5億円（2017年6月期）,"代表取締役 市川 哲也",http://ichikawa-group.com,,(株)　市川自動車〒424-0944　静岡市清水区築地町10-10マツダオートザム清水2Ｆ　総務　曽根邦光ＴＥＬ：054-368-4376■URLhttp://ichikawa-group.com■E-mailk-sone@ichikawa-group.com
株式会社東邦プラン,5000万円,約9億4千万円（27期実績）,代表取締役　本多修,http://www.tohoplan.co.jp,jinji@tohoplan.co.jp,"株式会社東邦プラン〒212-0027 神奈川県川崎市幸区新塚越201 ルリエ新川崎7F採用担当TEL：044-549-0772E-mail：jinji@tohoplan.co.jp"
大黒天物産株式会社,16億7900万円（2017年5月末）,"毎年105％以上の成長率を実現。実際に業界トップクラスの成長を続けてきました。今後更にスピードを加速し、日本一の企業を目指します。1553億円（2017年5月期） ※　対前年比 　107％1451億円（2016年5月期） ※　対前年比 　109％1331億円（2015年5月期）　　※　対前年比　106％1248億円（2014年5月期）　　※　対前年比　108％1146億円（2013年5月期）　　※　対前年比　117％　976億円（2012年5月期）　　※　対前年比　109％　893億円（2011年5月期）　　※　対前年比　112％　797億円（2010年5月期）　　※　対前年比　109％　730億円（2009年5月期）　　※　対前年比 114％ 　641億円（2008年5月期）　　※　対前年比　122％　523億円（2007年5月期）　　※　対前年比　128％　407億円（2006年5月期）　　※　対前年比　139％",代表取締役社長　大賀　昭司,http://www.e-dkt.co.jp,jinzai@e-dkt.co.jp,"岡山県倉敷市堀南704-5　〒710-0841(直)086-486-5490　(代)086-435-1100担当:人事部新卒採用課　大賀・角島・秋山■会社概要　　　　　　URL http://www.e-dkt.co.jp■E-mailアドレス　　　jinzai@e-dkt.co.jp"
