会社名,代表者,ホームページ,メールアドレス,電話番号,資本金,売上高,連絡先
株式会社太陽カンパニー,代表取締役　大澤　宏一郎,,,03-6264-7447,500万円,規定により非公開,"株式会社太陽カンパニー〒104-0061　東京都中央区銀座8-14-9 デュープレックス銀座タワー8/14　501号室採用担当TEL：03-6264-7447Email：recruit@taiyo-company.com"
株式会社インテリアパレスしらい,代表取締役　白井　丈久,http://www.i-shirai.com,,027-387-2139,3000万円,8億7759万円（2014年実績）,..。oＯo。..。oＯo。..。oＯo。..。oＯo。..。oＯo。..株式会社　インテリアパレスしらい〒370-2133群馬県高崎市吉井町吉井川429【TEL】027-387-2139【HP】http://www.i-shirai.com/..。oＯo。..。oＯo。..。oＯo。..。oＯo。..。oＯo。..
アクシアル　リテイリンググループ（株式会社原信・株式会社ナルス）,代表取締役社長　原　和彦,,,,31億5900万円,2237億900万円(2016年3月期実績　グループ計)（旧原信ナルスＨＤ計1529億400万円）,〒954-0193　新潟県長岡市中興野18番地2原信ナルスオペレーションサービス株式会社教育企画室　採用担当/小山田・西澤・佐藤【フリーダイヤル】0120－298－804　※各社へのお問合せは原信ナルスオペレーションサービス株式会社で受け付けます交通機関/JR信越本線「押切駅」下車、徒歩25分(車で送迎いたします)北陸自動車道「中之島・見附インター」を降りて、車で5分
株式会社ニュースコム,"代表取締役社長　川上 明彦",http://newscom.ne.jp/,,0120-35-5458,1000万円,94000万円,株式会社ニュースコム〒400-0858　山梨県甲府市相生2-15-1TEL：0120-35-5458（担当：三井）/FAX：055-235-5459E-mail：info@newscom.ne.jp
株式会社ザメディアジョン,代表取締役　山近　義幸,,recruit@saiyo.mediasion.co.jp,03-5719-6111,8150万円,9億7300万円（2015年12月）,"【ザメディアジョン採用委員会　本部事務局】〒141-0031 東京都品川区西五反田1-17-6 トミエビル3FTEL　03-5719-6111E-mail　recruit@saiyo.mediasion.co.jp採用ＨＰ　http://mediasion-saiyo.net/ザメディアジョン採用委員会／工藤"
イニシャル・ワンハンドレッド株式会社,三井重信,http://www.the100stores.co.jp,,03-3598-1050,10000000円,平成23年度　12億4100万円平成24年度　12億4500万円平成25年度　12億0200万円,"イニシャル・ワンハンドレッド株式会社 本社所在地 〒115-0045 東京都北区赤羽1丁目52番10号　 NS2ビル2階 TEL/03-3598-1050FAX/03-3598-2040 http://www.the100stores.co.jp/"
株式会社HRデザイン,"代表取締役　松本 直樹",http://hr-design.jp,,,1800万円,13億7527万円（2015年12月）,〒530-0057　大阪府大阪市北区堂山町1-5　三共梅田ビル　9階　ＴＥＬ　06－6363－7301（採用窓口）ＨＰ　http://hr-design.jp/
株式会社電広,代表取締役　田中利邦,http://www.denko-ad.co.jp,info@denko-ad.co.jp,052-243-3751,5100万円,7億2000万円（2016年2月期）,"〒460-0008　名古屋市中区栄4-14-31　栄オークリッジ10階ＴＥＬ：052-243-3751担当／採用担当 までＵＲＬ　http://www.denko-ad.co.jpE-mail info@denko-ad.co.jp"
株式会社ルミネ,代表取締役社長　森本雄司,http://www.lumine.ne.jp,,03-3377-2200,23億7520万円,3380億円(2016年度取扱高実績),〒151-0053東京都渋谷区代々木2-2-2　JR東日本本社ビル10階株式会社ルミネ　本社総務部　新卒採用担当TEL：03-3377-2200（採用専用回線　平日10:00～18:00まで）ホームページアドレス：http://www.lumine.ne.jp採用ホームページアドレス：http://lumine-recruit.jp/ルミネメイト募集サイト：http://lumine-recruit.jp/mate/index.html
田中電気株式会社,代表取締役社長　田中　良一,http://www.tanaka-denki.co.jp/,soumu.1973@tanaka-denki.co.jp,03-3253-2811,6000万円,59億2478万円（平成27年度実績）,"田中電気株式会社〒101-0021東京都千代田区外神田1-16-9総務部　採用担当　 小林TEL：03-3253-2811E-mail：soumu.1973@tanaka-denki.co.jp"
株式会社和田正通信サービス,"代表取締役社長　 和田　直士",http://wadashocom,,026-219-0077,3000万円,68億4000万円（2016年3月期）,"株式会社和田正通信サービス〒380-0916長野県長野市稲葉中千田2142【TEL】026-219-0077【FAX】026-219-0070【H P】http://wadashocom-au.com/"
株式会社パラドックス,鈴木猛之,http://www.prdx.co.jp,pdrecruit@prdx.co.jp,06-6377-5646,1000万円,9億5000万円（2016年3月期）,"〒530-0012 大阪府大阪市北区芝田1-1-4　阪急ターミナルビル7F　パラドックス大阪オフィスTel 06-6377-5646 担当／新卒採用係　渡邊http://www.prdx.co.jpメール　pdrecruit@prdx.co.jp"
株式会社ベネフル,代表取締役　杉本　佳嗣,,,0743-68-2626,1000万円,15億円（2016年5月期),株式会社　ベネフル〒632-0072奈良県天理市富堂町34　採用担当　TEL：0743-68-2626
株式会社ラブキャリア,,http://lovecareer.co.jp,recruit@lovecareer.co.jp,03-6205-6556,9900万円,23億円（2016年度実績）,"株式会社ラブキャリア採用担当【本社】〒160-0022　東京都新宿区新宿5-18-12　SHINJUKU5-IIビル　2階【TEL】03-6205-6556【e-mail】recruit@lovecareer.co.jp　新卒採用係★コラムにてメディア出演・最新情報更新中!!【HP】 http://lovecareer.co.jp/【facebook】 https://www.facebook.com/lovecareer/【美人時計】 https://www.facebook.com/bijintlovecareer/━━━━━━━━━━━━━━━━━━━━━━━━━━━━━●●●Facebook「いいね！」にご協力よろしくお願いします●●●━━━━━━━━━━━━━━━━━━━━━━━━━━━━━"
株式会社大進本店　株式会社大進創寫舘　株式会社リーベリア,"代表取締役社長　山本 茂樹",http://www.daishin.gr.jp,saiyo2018@daishin.gr.jp,082-221-4118,7000万円（グループ）,87億円（グループ）（2016年2月期）,"株式会社 大進本店　総務部〒730-8603　広島市中区鉄砲町2-15TEL／082-221-4118担当／平川お問い合わせの受付は株式会社大進本店で行なっております。採用・選考は各社で行ないます。URL ／http://www.daishin.gr.jp/recruit/ E-mail 　saiyo2018@daishin.gr.jp"
株式会社オータニ,大谷　章,http://www.sp-otani.com,jinji@sp-otani.com,028-661-4011,9820万円,平成22年8月期　285億円平成23年8月期　298億円平成24年8月期　303億円平成25年8月期　313億円平成26年8月期　330億円平成27年8月期平成28年8月期　310億円,"株式会社オータニ　人事部TEL：028-661-4011FAX：028-660-2222E-mail：jinji@sp-otani.com 〒321-0905栃木県宇都宮市平出工業団地37-3人事部／大谷（おおや）、小室（こむろ）、香取（かとり）まで、どんなことでも気軽にお問い合わせください【ホームページURL】http://www.sp-otani.com/"
"株式会社TOKYO FUTON COMPANY 関東",代表取締役社長　高橋　康,,,0276-80-2688,1000万円,9億3571万円（2014年7月期）※開成商事として単体の売り上げとなります。TOKYO　FUTON　COMPANY関東に関しては2016年11月に分社化を行ったため、実績がございません。,"■株式会社TOKYO FUTON COMPANY 関東〒374-0025　群馬県館林市緑町2-22-14TEL:0276-80-2688　採用担当★お電話でのお問い合わせの際は、 「株式会社TOKYO FUTON COMPANY 関東の新卒採用の件」とお伝え下さい。"
生活協同組合コープやまぐち,"理事長 岡崎　悟",http://www.yamaguti-coop.or.jp,,083-995-3655,,182億6300万円（2014年度）,"〒753-0872 山口市小郡上郷901-21 TEL:083-995-3655 人事教育グループhttp://www.yamaguti-coop.or.jp/saiyo@yamaguchi.coop"
株式会社平田商会,代表取締役　平田典之～はじめまして、三代目社長の平田です～　ラフィーネヒラタは、昭和44年に祖父が創業して以来、　地元のお客様に支えられて営業してきました。　お客様に美しく楽しい生活を送っていただきたい、そのためには、　我々スタッフが仕事にやりがいを感じ、　楽しくやっていないといけないと強く感じています。　どうしたら「楽しく働く」ことができるか？　経営者として私が考えていくことはもちろんですが、　それをぜひ皆さんにも一緒に考え、実践してほしいと思っています。★続きは【会社説明会】で！,http://corporate.r-hirata.co.jp,,027-252-8828,2500万円,4億6000万円（2016年度）,"◆株式会社平田商会 ―RAFFINE HIRATA―〒371-0831　群馬県前橋市小相木町515-1TEL:027-252-8828担当／平田HP： http://corporate.r-hirata.co.jp/"
株式会社朝日サポートセンター,代表取締役社長　坂本　眞,http://www.asahi-sc.com,,052-218-3577,3000万円,14億5400万円（2016年3月実績）,株式会社朝日サポートセンター愛知県名古屋市中区栄1-3-3　朝日会館6F採用担当052-218-3577http://www.asahi-sc.com/
株式会社西尾,代表取締役社長　西尾　高行,http://www.nishio-gofuku.co.jp,info@nishio-gofuku.co.jp,06-6441-1188,1000万円,"１５億円 （2016年12月期実績）","株式会社西尾〒553-0006　大阪府大阪市福島区吉野2丁目13-18担当/人財開発課　澤田TEL: 06-6441-1188E-mail: info@nishio-gofuku.co.jpURL: http://www.nishio-gofuku.co.jp/"
ＩＣＤＡグループ,"向井 弘光",,,059-381-5540,11億6106万円,連結：234億1194万円（平成28年3月期）,"【ICDAグループ採用窓口】ICDAホールディングス(株) 〒513-0802 三重県鈴鹿市飯野寺家町234-1（鈴鹿オートモール内） 採用担当／荒川 TEL:059-381-5540"
山梨パナソニックシステム株式会社,代表取締役社長　渡邉良樹,http://www.ynsys.co.jp/index.html,,055-275-7155,2100万円,2417百万（2016年度）,山梨パナソニックシステム株式会社〒409-3866山梨県中巨摩郡昭和町西条233採用担当：　総務課　河淵（コウブチ）TEL：055-275-7155
株式会社照林社,"代表取締役　大橋 裕明",http://www.shorinsha.co.jp/,,03-5689-7377,7650万円,12億2000万円（2016年8月期実績）,"株式会社照林社〒112-0002東京都文京区小石川2-3-23 春日尚学ビル採用担当TEL：03-5689-7377"
"株式会社 宮本薬局","代表取締役社長 宮本幸俊",,,03-5968-3121,5000万円,42億円（2015年3月）,株式会社宮本薬局〒175-0094東京都板橋区成増2-17-13　成増富士ビル3Ｆ採用担当：深谷・宮本TEL：03-5968-3121（代）
コナン販売株式会社,"代表取締役社長：山田 良樹",http://www.konanhanbai.jp,,0120-216-360,5000万円,83億円（2015年3月実績）,"■コナン販売株式会社─────────────　〒305-0033　茨城県つくば市東新井32-6 コナン東新井ビル2F　採用担当　TEL:0120-216-360　＊HP：http://www.konanhanbai.jp/　＊採用サイト：http://r.konan.jp/──────────────────KONAN■"
株式会社メガネの金剛,代表取締役社長　佐藤　元昭,,,050-5305-7287,7700万円,2.8億円（2017年2月実績）,"〒 589-0011 大阪府大阪狭山市半田1-35-1 新卒採用専用ダイヤル050-5305-7287"
株式会社マルミヤストア,代表取締役社長　池邉　恭行,http://www.marumiya-st.jp,,0972-23-6668,8億円,267億円（平成29年2月期実績）,〒876-0815大分県佐伯市野岡町2-1-10TEL:0972-23-6668担当／菅（すが）・山中（やまなか）・市来(いちき)ＵＲＬ／http://www.marumiya-st.jp
株式会社ＣＨＡＲＭＹ,代表取締役　田中　孝太郎,http://www.charmy.co.jp,recruit@charmy.co.jp,045-662-0011,5000万円,,"株式会社ＣＨＡＲＭＹ採用担当：小泉http://www.charmy.co.jp/〒231-0861 神奈川県横浜市中区元町3-115Tel:045-662-0011E-Mail:recruit@charmy.co.jp"
株式会社丸久,,,saiyou@mrk09.co.jp,0835-38-1511,10億円,938億1700万円（2017年2月実績）,"株式会社丸久　人事能力開発部〒747-8509山口県防府市大字江泊1936代表　0835-38-1511人事直通・採用専用　0120-09-8809e-mail saiyou@mrk09.co.jp担当/堀田・松永"
株式会社ギャレリア・ニズム,代表取締役　長野哲士,http://www.galleria-nism.com,,027-381-8211,3000万円,34億6200万円（平成28年8月度実績）,◆o◆o◆o◆o◆o◆o◆o◆o◆o◆o◆o◆o◆株式会社ギャレリア・ニズム　人事採用担当＜営業本部＞〒370-0043　群馬県高崎市高関町407-1TEL:027-381-8211http://www.galleria-nism.com/◆o◆o◆o◆o◆o◆o◆o◆o◆o◆o◆o◆o◆
株式会社ジュエルフジミ,代表取締役　藤原華子,http://www.j-fujimi.co.jp,,0725-23-8636,2500万円,,"株式会社ジュエルフジミ＜ジュエルフジミ本部・採用担当＞住所：大阪府泉大津市田中町5-15 フジミビル2FTEL：0725-23-8636HP：http://www.j-fujimi.co.jp/"
株式会社シグナル,"代表取締役　清水 恵介",http://signal-recruit.jp,,06-6214-0018,1000万円,47億3200万円（2015年12月実績）,株式会社シグナル　採用担当〒542-0086大阪市中央区西心斎橋2-2-3　EDGE心斎橋5F(本社)電話：06-6214-0018「株式会社シグナル　採用ＨＰ」http://signal-recruit.jp/
株式会社フリースタイルエンターテイメント,"代表取締役　椎葉 保雄",http://www.freestyle-entertainment.co.jp,,052-202-8900,1000万円,6300万円（2012年実績※設立1年目）1億8000万円（2期実績）2億1000万円（3期実績）2億3000万円（4期実績）,"名古屋市中区錦二丁目19番1号 　名古屋鴻池ビルディング12階TEL　052-202-8900　FAX　052-202-8901URL　http://www.freestyle-entertainment.co.jp"
東映ラボ・テック株式会社,代表取締役社長　　中山　正久,,,,１億円,２４億９０００万円（２０１７年３月末実績),本社〒１８２－００２２東京都調布市国領町８－９－１東映ラボ・テック株式会社　総務部　採用担当ＴＥＬ：０３－３４３０－３３３１
ジャパンポートコンテンツ株式会社,"代表取締役 上口　剛秀",http://www.japan-port.com/,saiyo@japan-port.com,03-5784-4795,4200万円,4億3000万円(関連企業含む）,"ジャパンポートコンテンツ株式会社〒150-0031東京都渋谷区桜丘町18-4　二宮ビル5F(JPCオフィス)TEL： 03-5784-4795 Email：saiyo@japan-port.com"
株式会社オシャレボ,代表取締役　若山知宏,http://www.osharevo.com/,,03-6416-5510,100万円,10億円（2016年7月実績）,"株式会社オシャレボ〒153-0042東京都目黒区青葉台3-6-16　HF青葉台ビル2F人事部　高橋　里奈(TEL) 03-6416-5510(FAX) 03-6416-5520"
角上魚類ホールディングス株式会社,代表取締役社長　柳下浩三,,/saiyo@kakujoe.com,,3億5450万円,　決算期　　　　　売上高　　　　営業利益　営業利益率　店舗数2017年3月期　314億51百万円　19億28百万円　6.1％　22店舗2016年3月期　306億94百万円　19億30百万円　6.3％　22店舗2015年3月期　283億33百万円　20億69百万円　7.3％　21店舗2014年3月期　261億01百万円　16億24百万円　6.2％　22店舗　　　2013年3月期　248億58百万円　13億83百万円　5.6％　22店舗,"角上魚類ホールディングス株式会社　総務部担 当 / 針谷（はりがや）、三間(さんま)、山田（やまだ）〒940-2595新潟県長岡市寺泊下荒町9772-20電 話 / (0258)75-5730(直通)メール / saiyo@kakujoe.com"
"東通西日本 株式会社","代表取締役　石谷 博",,,092-474-6655,1000万円,1億5800万円（2016年8月期）,〒812-0008福岡市博多区東光2-1-13　協栄ビル4FTEL：092-474-6655採用担当：壱崎
株式会社　千代田ラフト,代表取締役社長　佐久間修,,,03-3464-6393,5000万円,6億8000万円(2017年6月実績),〒153-0042東京都目黒区青葉台3-1-19青葉台石橋ビル9F03-3464-6393株式会社千代田ラフト総務部　採用係
株式会社博報堂プロダクツ,代表取締役社長　江花　昭彦,http://www.h-products.co.jp,,03-5144-7207,1億円［株式会社博報堂（100%出資）],905億円(2016年3月期実績),〒135-8619　東京都江東区豊洲5-6-15　NBF豊洲ガーデンフロント4FTEL:03-5144-7207FAX:03-5144-7382ホームページ　http://www.h-products.co.jp/
株式会社川間モータース,代表取締役　山田敦史,,,04-7125-5777,1234万円,2億円（2017年7月）,株式会社川間モータース〒278-0003千葉県野田市鶴奉2-7採用担当／山田敦史TEL:04-7125-5777Mail:info@kawama.asia
株式会社スマイルドラッグ,代表取締役　黒澤　和政,http://www.smiledrug.co.jp,recn-jinji@smiledrug.co.jp,0120-03-4517,4500万円,233億円（2016年3月期実績）,"株式会社スマイルドラッグ管理部人事課／望月（もちづき）(フリーダイヤル)　0120-03-4517E-mail：recn-jinji@smiledrug.co.jp〒108-8552東京都港区芝浦3-16-4 山田ビル5F【http://www.smiledrug.co.jp/】"
株式会社人材総合サービス,代表取締役　鈴木洋児（45歳）,http://www.jin-so.co.jp,,03-5358-3030,1700万円,4億5165万円（2016年2月期）,-------■株式会社人材総合サービス（jin-so）■-------〒151-0053東京都渋谷区代々木2-10-4　新宿辻ビル5F【お問い合せ先】TEL:03-5358-3030FAX:03-5358-3038●URL：http://www.jin-so.co.jp●アクセス　各線新宿駅南口より徒歩3分
株式会社　マナベインテリアハーツ,代表取締役社長　真鍋守利,,saiyo@manacs.com,080-3166-8244,4000万円,65億円（2011年5月)72億円（2012年5月）80億円（2013年5月）84億円（2014年5月）87億円（2015年5月）95億円（2016年5月）,〒569-0002大阪府高槻市東上牧1丁目2－1人事企画部　吉田　宛Tel：080-3166-8244E-mail：saiyo@manacs.com
株式会社マジック・ハンド,代表取締役　田川　聖二,http://www.magichand.co.jphttp://www.dot-vision.jp　　(撮影部),,044-850-1055,1000万円,4億円,"株式会社マジック・ハンド〒213-0031神奈川県川崎市高津区宇奈根744-11撮影部採用担当 中南照明部採用担当 柴田TEL： 044-850-1055"
株式会社トライアーチ,"代表取締役　飯塚 忠彰",http://triarch.co.jp,,027-329-6587,"30万円 ",3000万円（2016年度実績）,"━━━━━━━━━━━━━━━━━━━━・・・・　　　＜＜　株式会社トライアーチ　＞＞制作室／群馬県高崎市貝沢町939-3 E’z S-1号室TEL：027-329-6587　採用担当　山田【HP】http://triarch.co.jp/・・・・━━━━━━━━━━━━━━━━━━━━"
株式会社サンダータービュランス,代表取締役社長　吉田享識,http://www.thunderturbulence.com/,,03-5303-7555,1000万円,16億円（2015年6月実績）,"株式会社サンダータービュランス〒167-0042 東京都杉並区西荻北2-3-9 Ken's西荻北ビル5Ｆ　採用担当TEL：03-5303-7555 FAX：03-5303-7556"
株式会社　エイブル,代表取締役　森下靖夫,,,03-5209-9211,1000万円,,株式会社エイブル〒101-0045東京都千代田区神田鍛冶町3-5-2KDX鍛冶町ビル7FTEL03-5209-9211担当/採用係
株式会社ユニゾンモバイル,代表取締役：須鎌　隆志,http://www.unisonmobile.jp,,0296-21-1200,1000万円,30億円（2015年9月期実績）,"＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝株式会社ユニゾンモバイル〒308-0803茨城県筑西市直井1180TEL: 0296-21-1200HP: http://www.unisonmobile.jp/ ＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝"
株式会社メディアネットワーク,代表取締役　　花田　泳吉,,,03-3833-2151,1000万円,,東京都台東区上野5-13-11　第2オリエントビル5F03-3833-2151
株式会社太陽エージェンシー,代表取締役　小林浩二（社員→管理職→代表）,,,03-3258-1761,1000万円,"7億7500万円（グループ全体では38億100万円） ※2017年3月期実績7億4200万円（グループ全体では40億7000万円） ※2016年3月期実績 6億5600万円（グループ全体では34億2900万円） ※2015年3月実績 5億3800万円（グループ全体では27億2000万円） ※2014年3月実績",〒101-0047東京都千代田区神田富山町10-2　アセンド神田ビル株式会社太陽エージェンシー担当/「リクナビ2018」担当03-3258-1761【交通】本社／JR・地下鉄「神田駅」東口より徒歩4分、都営新宿線「岩本町」より徒歩4分
株式会社大黒屋,小川浩平出身校：慶応義塾大、コロンビア大学外資系金融機関、大手企業、上場企業の経営とプロの「投資家」「経営者」として華々しいキャリアを積み重ねてきました。,http://www.daikokuya78.com,jinji@daikokuya78.co.jp,03-3472-7740,318百万円,169億円（2015年3月期）171億円（2016年3月期）150億円（2017年3月期）,"*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*株式会社大黒屋　管理本部〒108-0075　東京都港区港南4-1-8　リバージュ品川　オフィスタワー3ＦTel　03-3472-7740 Fax 03-3472-7741Mail: jinji@daikokuya78.co.jpURL: http://www.daikokuya78.com総務部人事担当　*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*"
株式会社魚里本家,"代表取締役　里村 文崇",http://uorihonke.com/★Facebookも更新してますhttps://www.facebook.com/株式会社-魚里本家-203811299663360/,,06-6421-5675,1000万円,6億円（単体）2016年7月期実績,"株式会社魚里本家 〒661-0001兵庫県尼崎市塚口本町1-2-30採用担当:里村　文崇TEL：06-6421-5675"
株式会社ドライバースタンド,"代表取締役社長　石渡 淳",,,03-6892-3811,5000万円,118億2000万円（2017年3月期）,東京都中央区日本橋馬喰町1-4-16馬喰町第一ビルディング採用担当／人事課　上田TEL:03-6892-3811
アンリミテッド株式会社,"代表取締役社長 小松崎 隆",http://unlmx.com,yuri_oyama@unl.co.jp,029-303-8881,300万円,1億5715万円（2016年取扱高）,"〒310-0903　茨城県水戸市堀町2097-4　AFビル　2階ＴＥＬ　029-303-8881 ＨＰ　http://unlmx.com/メールアドレス　yuri_oyama@unl.co.jp"
株式会社青葉広告,代表取締役　坂井一夫,http://www.aoba-koukoku.co.jp,saiyou@aoba-koukoku.co.jp,03-5324-3200,1000万円,◎9億9499万円（平成28年3月実績）◎10億670万円（平成27年3月実績）◎10億1900万円（平成26年3月実績）◎10億1100万円（平成25年3月実績）,"株式会社　青葉広告 〒160-0023　東京都新宿区西新宿1-22-2 新宿サンエービル13FTEL：03-5324-3200 ／採用担当（10:00～18:00）　 FAX：03-5324-3204E-mail：saiyou@aoba-koukoku.co.jpURL：http://www.aoba-koukoku.co.jp"
株式会社ロータス21,代表取締役　村田　幸雄,http://www.lotus21.co.jp,,03-5550-5213,9830万円（平成25年1月末現在）,1億円（平成29年3月）,株式会社ロータス21〒104-0045東京都中央区築地2-11-11森田ビル6F採用担当TEL：03-5550-5213（代）
株式会社創美社,代表取締役　城田　悦也,http://www.sobi-capa.co.jp,,027-251-6790,1000万円,5億6000万円（2017年度実績　※前年比112％増）,□■―――――――――――――――――■□　　　　　　　～創美社～　〒371-0844　群馬県前橋市古市町1-4-3　採用担当　TEL:027-251-6790（代）　HP＞＞http://www.sobi-capa.co.jp/□■―――――――――――――――――■□
株式会社関西スーパーマーケット,代表取締役　福谷　耕治,,,072-772-0577,98億6293万円（2016年11月14日実績）,1162億円（2016年3月実績）,株式会社関西スーパーマーケット本社　〒664-0851　伊丹市中央5丁目3番38号TEL：072-772-0577(人事教育チーム直通)採用担当：人事グループ　人事教育チーム
株式会社日経ピーアール,代表取締役社長　谷亀隆幸,https://www.nikkeipr.co.jp,saiyo@nikkeipr.co.jp,03-6812-8667,3000万円,120億2000万円（2015年12月期）,"株式会社日経ピーアール〒101-0047 東京都千代田区内神田1-6-10 笠原ビル管理本部人事グループ　採用担当TEL：03-6812-8667/03-6865-7001E-Mail：saiyo@nikkeipr.co.jp"
株式会社杢目金屋,代表取締役　高橋正樹,http://www.mokumegane.co.jp,jinji@mokumeganeya.com,03-3408-7863,6000万円,20億円（2016年6月期実績）19億円（2015年6月期実績）18億円（2014年6月期実績）15億円（2013年6月期実績）12億円（2012年6月期実績）10億円（2011年6月期実績）,株式会社杢目金屋〒150-0001東京都渋谷区神宮前2-4-2　シャロンビル管理部　新卒採用担当【電話番号】　03-3408-7863【URL】　http://www.mokumegane.co.jp/【E-Mail】　jinji@mokumeganeya.com
マツモトキヨシグループ（薬剤師職）,,https://www.facebook.com,info@matsukiyo.co.jp,0120-047-300,,,"〒270-8521千葉県松戸市新松戸1-483人事部採用課　新卒担当TEL　:　0120-047-300Mail　:　info@matsukiyo.co.jphttps://www.facebook.com/matsukiyo.saiyo 『マツモトキヨシ　新卒採用』で検索！"
株式会社ウインウイン,代表取締役　魚谷　勝,,,078-334-1191,2000万円,20億円（2015年9月実績）,株式会社ウインウイン　神戸本社■兵庫県神戸市中央区京町79番地　日本ビルヂング10F■078-334-1191/人事採用担当
株式会社シャン・クレール,代表取締役　岩松　隆志,http://www.chane-claire.jp,job.recruit@chane-claire.jp,,1000万円,8億3000万円（2015年）,"株式会社シャン・クレール〒160－0023東京都新宿区西新宿6－6－2新宿ヒルトンホテル　B１F 　【東京・仙台・札幌】人事部／安田（やすだ）E-mail　job.recruit@chane-claire.jp　【大阪・名古屋・福岡】人事部／大谷（おおたに）E-mail　job.recruit.osaka@chane-claire.jphttp://www.chane-claire.jp/http://www.2400.co.jp/※只今、お問い合わせが非常に混み合っている為、Eメールアドレスへお問い合わせください。"
株式会社トミヤコーポレーション,"代表取締役社長／古市 聖一郎",http://www.tomiya.co.jp,jinji@tomiya.co.jp,086-233-1040,5000万円,36億円（平成27年3月期）,株式会社トミヤコーポレーション〒700-8538　岡山市北区表町2-2-83採用担当　社長室　藤井TEL：086-233-1040URL：http://www.tomiya.co.jp/Mail：jinji@tomiya.co.jp
株式会社デライト,代表取締役社長　白井健太郎,,,052-222-0248,4000万円,242億円（2017年3月実績）222億円（2016年3月実績）208億円（2015年3月実績）195億円（2014年3月実績）180億円（2013年3月実績）173億円（2012年3月実績）,"〒440-0011　愛知県豊橋市牛川通3-8-8【2018卒】新卒採用事務局TEL:052-222-0248電話受付時間 ／平日9:00～17:00"
ＡＴＳ株式会社,,,,06-4254-7757,1250万円,40億7000万円(2015年度実績),"〒535-0003 大阪市旭区中宮5丁目12-6-1F06-4254-7757（代）"
株式会社　日本SPセンター,代表取締役社長　渡辺　一男,,,,5000万円,25億円（2016年3月決算）,採用担当チーム　薗田まで　saiyo@nspc.jp　※電話でのお問い合わせはご遠慮願います。
株式会社プライムサーヴ,"代表取締役　地曵 伸二",,,03-3207-8880,1000万円,,"■株式会社プライムサーヴ　本社　総務グループ 担当/岩城〒160-0022　東京都新宿区新宿5-17-17　渡菱ビル4FTEL:03-3207-8880　FAX:03-3207-8885"
株式会社テレポート,代表取締役　西田行孝,http://www.teleport.co.jp,,0120-73-2244,10000000円,"　決算期　　　　売上高―――――――――――――――――2016年9月　　71億3000万円2015年9月　　63億3000万円2014年9月 　 52億3000万円2013年9月 　 39億7000万円2012年9月 　 33億9000万円2011年9月 　 29億円2010年9月 　 17億7000万円","　株式会社テレポート　採用担当　〒520-0835 滋賀県大津市別保三丁目11番32号　TEL: 0120-73-2244　E-mail: t-saiyo@teleport-apps.biz　HP: http://www.teleport.co.jp/"
ブルームバーグ　エル・ピー,"CEO Michael Bloomberg在日代表 石橋邦裕",http://www.bloomberg.co.jp,,03-3201-8900,非公開,非公開,"〒100-6321　東京都千代田区丸の内2-4-1　丸ビル21F　　　　　　　　（最寄駅：各線東京駅）※お問い合わせはE-mailにて承っております。電話番号:03-3201-8900Email: recruittokyo@bloomberg.netホームページ:　http://www.bloomberg.co.jp/採用ページ:　　http://about.bloomberg.co.jp/careers/"
株式会社スマイ印刷,"代表取締役　石光 堅太郎",,,077-552-1045,1000万円,6億2400万円（2011年8月期）,〒520-3014滋賀県栗東市川辺568-2株式会社スマイ印刷　総務部人事担当　池本電話番号：　077-552-1045(代)
株式会社フェイス,"代表取締役　根橋 貴文",http://www.faith-up.com/,recruit@faith-up.com,03-6206-6207,1000万円,2億円,"株式会社フェイス〒105-0003東京都港区西新橋1-18-6 クロスオフィス内幸町408　採用担当：杉田TEL：03-6206-6207Email：recruit@faith-up.com"
株式会社サウザンドクレイン,代表取締役　高橋良太,,,03-5986-0777,1億8094万1250円（資本準備金含3億3113万6000円),17億1000万円(2016年9月期実績),"〒171-0021東京都豊島区西池袋5-26-19 陸王西池袋ビル6階株式会社サウザンドクレイン新卒採用担当宛TEL：03-5986-0777tc_saiyou2018@thousand-crane.co.jp"
株式会社芝翫香,代表取締役社長　木下　勝,,,306-6253-0921,2600万円,34億円(2015年2月),株式会社芝翫香〒542-0086　大阪市中央区西心斎橋1-8-306-6253-0921jinji@shikanko.co.jp
株式会社デンソーオート,"代表取締役　前島 伸一郎",http://www.donet.ne.jp,densoauto@donet.ne.jp,028-655-2288,1000万円,33億円（2012年4月）,"■□ Denso Auto ━━━━━━━━━━━━━━株式会社デンソーオート〒321-0153　栃木県宇都宮市北若松原2-11-29TEL:028-655-2288採用担当／風間【HP】　http://www.donet.ne.jp/donet/p/【MAIL】　densoauto@donet.ne.jp━━━━━━━━━━━━━━━━━━━━━━"
昌和印刷株式会社,"代表取締役社長　和田 拓也",http://www.showa-print.com/,saori-ozawa@showa-print.com,03-6661-9551,3200万円,20億（2016年9月実績）,"昌和印刷株式会社〒103-0011東京都中央区日本橋大伝馬町12番9号　SHOWAビル人事採用担当TEL: 03-6661-9551 Email：saori-ozawa@showa-print.com"
