会社名,資本金,売上高,代表者,ホームページ,メールアドレス,連絡先
株式会社キューブシステム,7億6897万円,"128億円（単体：118億円） 2017年3月実績126億円（単体：117億円） 2016年3月実績125億円（単体：116億円） 2015年3月実績112億円（単体：104億円） 2014年3月実績　92億円（単体：85億円）　2013年3月実績　84億円（単体：79億円）　2012年3月実績　91億円（単体：86億円）　2011年3月実績　87億円（単体：80億円）　2010年3月実績　85億円（単体：77億円）　2009年3月実績　81億円（単体：73億円）　2008年3月実績　79億円（単体：71億円）　2007年3月実績　77億円（単体：71億円）　2006年3月実績　71億円（単体：65億円）　2005年3月実績",代表取締役　社長　　崎山　收,http://www.cubesystem.co.jp,jinjisaiyou@cubesystem.co.jp,"株式会社キューブシステムコーポレートサービス本部　人材開発室　採用担当／関口、天野、神岡 〒141-0032 東京都品川区大崎2-11-1　大崎ウィズタワー □問い合わせ先　　採用全般について　 ：0120-900-276 □E-mail : jinjisaiyou@cubesystem.co.jp □採用HP : http://www.cubesystem.co.jp/jp/recruit/index.html"
日本アクティ・システムズ株式会社,1億円,20億円（2015年3月）,"代表取締役　山口 博之",,,"【東京】〒108-0073東京都港区三田3丁目14番10号　三田3丁目MTビル10FTEL：03-3453-6461採用担当【大阪】〒 532-0003大阪市淀川区宮原3丁目4番30号 ニッセイ新大阪ビル14ＦTEL：06-6398-1711採用担当"
FPTジャパン株式会社,9000万円,113億円（2016年12月期実績）,代表取締役社長　チャン・ダン・ホア,https://www.fpt-software.jp,,"FPTジャパン株式会社〒105-0011東京都港区芝公園1-7-6CROSS PLACE 浜松町6階採用担当メール : fjp.ra@fsoft.com.vn"
株式会社システムリサーチ,5億5015万円,104億5420万円（単体）104億6579万円（グループ連結）※2016年3月期,"代表取締役社長　布目 秀樹",,,本社〒453-0861愛知県名古屋市中村区岩塚本通二丁目12番TEL052-413-6820（代表）FAX052-413-5037
フラットシステムソリューションズ株式会社,1000万円,,代表取締役　平一彦,http://flat-ss.co.jp,,"【本社】〒160-0023東京都新宿区西新宿3-1-5　新宿嘉泉ビル8F【秋葉原オフィス】〒101-0024東京都千代田区神田和泉町1-3-1　三恵ビル本館8F【大阪支店】〒541-0054大阪府大阪市中央区南本町3-2-1　鈴木康ビル6FTEL ： 06-6281-8061（採用担当）URL ： http://flat-ss.co.jp/"
株式会社日本ブレーン,9000万円,17億6000万円(2016年6月期),"代表取締役社長 宮内剛之",http://www.jbc.co.jp/,saiyo2018@jbc.co.jp,"〒170-6056東京都豊島区東池袋3-1-1 サンシャイン60　56F日本ブレーン 人事部 武藤(ムトウ)/大橋TEL：03-3984-7511(代表)FAX：03-3984-7510E-MAIL：saiyo2018@jbc.co.jp"
日本ソフトウエア株式会社,"5691万円 ■自己資本比率：59.5％（2016年1月期）","●17.2億円(2016年1月期実績) ●16.3億円(2015年1月期実績) ●15.1億円(2014年1月期実績)","代表取締役社長 小泉　敏夫",http://www.nsware.co.jp/,nsware_saiyou@nsware.co.jp,"〒553-0003　大阪市福島区福島7－20－1 KM西梅田ビル7階　 経営企画部TEL 06-6105-1200 E-mail：nsware_saiyou@nsware.co.jp URL：http://www.nsware.co.jp/"
株式会社エコーシステムズ,1000万円★★当社は完全な「独立系ソフトウェア会社」です。大手系列ではないからこそ、自由な社風・開発スタイルを貫けます。,6億0590万円（2016年9月実績）6億1100万円（2015年9月実績）6億3400万円（2014年9月実績）★★設立以来、順調に着実に業績を伸ばしています。社員一人ひとりの力と取引先からの信頼が当社の成長を支えています。,"代表取締役社長／阿部 弘★★『会社に動かされるのではなく、社員が会社を動かしていきたい』『自由で家族的な環境を作りたい』そんな想いが会社設立のきっかけです。とてもなごやかな雰囲気の社長だと新入社員からも慕われています。",http://www.echo-s.co.jp,,"■大阪オフィス〒550-0003　大阪府大阪市西区京町堀2丁目5番16号　UTSUBO GIZAビルTEL.06-6446-5841 FAX.06-6446-5991■東京オフィス 〒140-0014　東京都品川区大井1丁目45番2号　ジブラルタル大井ビルTEL.03-5743-0351 FAX.03-5743-0352URL. http://www.echo-s.co.jp/E-mail. kyujin@echo-s.co.jp"
株式会社村田ソフトウェアサービス,2512万円,6億円／2015年12月実績,代表取締役　村田知史,http://www.mss-g.co.jp,office@mss-g.co.jp,"大阪市西区北堀江1-6-2　サンワールドビル5F TEL06-4390-7654　採用担当ＵＲＬ…http://www.mss-g.co.jpE-mail…office@mss-g.co.jp"
株式会社ソフトウェアクレイドル,2000万円,,代表取締役社長　久芳将之,http://www.cradle.co.jp,personnel@cradle.co.jp,"株式会社ソフトウェアクレイドル人事担当〒530-0001　大阪市北区梅田3-4-5毎日インテシオ17FTEL:06-6343-5641e-mail:　personnel@cradle.co.jp会社ホームページ http://www.cradle.co.jp/採用情報ページ　　http://www.cradle.co.jp/career/"
ＴＯＫＡＩグループ,12億2100万円（2017年3月期）,1786億円（グループ連結、2017年3月期）,代表取締役社長　鴇田　勝彦,http://tokaiholdings.co.jp,tk-saiyo@tokai-grp.co.jp,"●TOKAIグループ　ITプロフェッショナル職採用担当チーム●本社　〒420-0034 静岡市葵区常磐町2-6-8東京本部　〒105-0022 東京都港区海岸1-9-1 浜離宮インターシティ人事採用・研修室　佐藤、揚原TEL 　　0120-00-3141メール　tk-saiyo@tokai-grp.co.jpHP http://tokaiholdings.co.jp/recruit/index.html　　　　　（※先輩社員の仕事を紹介した動画も掲載しています）"
コンピューターシステム株式会社,5000万円,"13億5000万円 (2014年3月期)13億5700万円 (2015年3月期)13億7000万円　 (2016年3月期)","代表取締役　大塚 忠",http://www.jcsc.co.jp,kanribu@jcsc.co.jp,"〒790－0001愛媛県松山市一番町3丁目2-11 松山第一生命ビル8階採用担当／三根生（みねおい）ＴＥＬ：089－921－6638ＦＡＸ：089－921－9313E-mail：kanribu@jcsc.co.jp"
株式会社ドイコンピュータマネージメント,2000万円,4億円,"代表取締役会長 土井 八老",,,"株式会社ドイコンピュータマネージメント〒150-0011東京都渋谷区東3-22-8 サワダビル2FTEL：03-5469-1221(代表)FAX：03-5469-1222"
ソフラ株式会社,7100万円,10億円（2016年3月期）,"井本 裕順",,,ソフラ株式会社　新卒採用係〒672-8048　兵庫県姫路市飾磨区三宅2-11TEL：050-3803-1032
イー・アンド・エム株式会社,6000万円,4320（百万円）【2016年9月期】,"代表取締役社長　滝沢 次郎",http://www.eandm.co.jp,saiyo2017@eandm.co.jp,"◆ご連絡は窓口【E-mail：saiyo2017@eandm.co.jp】または以下にお問い合せ下さい。 (採用・選考は本社事業所・営業所で行います。)◆イー・アンド・エム株式会社東京本社〒102-0083　東京都千代田区麹町三丁目一番地一　麹町３１１ビル　管理本部　楓（かえで）、阪上（さかうえ）　TEL:03-3230-1301宮崎事業所〒880-0303　宮崎県宮崎市佐土原町東上那珂16079-35 宮崎テクノリサーチパーク内　管理本部　益留（ますどめ）　TEL:0985-30-5170大阪営業所〒532-0003 大阪府大阪市淀川区宮原1-2-6 新大阪橋本ビル8階　管理本部　河路（かわじ）　TEL:06-4807-3207福岡事業所〒812-0011　福岡県福岡市博多区博多駅前2－19－27　九勧博多駅前ビル6F　管理本部　三井（みつい）　TEL:092-412-2820ホームページ　【http://www.eandm.co.jp/】"
株式会社ソフトプレックス,1000万円,9億1355万円（2016年4月期）,代表取締役　葛西泰寛,,,"株式会社ソフトプレックス／採用担当〒103-0015　東京都中央区日本橋箱崎町41-12　KDX箱崎ビル 4階TEL:03-5614-5821"
株式会社サン・メルクス,4500万円,5億9千万（平成28年6月期現在）,代表取締役社長　奥村一夫,http://www.sunmelx.com,recruit@sunmelx.com,株式会社サン・メルクス総務部　採用担当〒106-0032　東京都港区六本木6丁目2番31号　六本木ヒルズノースタワー6F【TEL】03-5786-3311【E-mail】recruit@sunmelx.com【交通】地下鉄日比谷線「六本木」駅1b出口直結【HP】http://www.sunmelx.com※ご不明な点がございましたら、上記電話番号・E-mailにお気軽にお問い合わせください。
株式会社テクノクリエイティブ,10000000円,18億円（2016年9月実績）,"代表取締役　三嶋 一秀",http://www.techno-creative.co.jp,,株式会社テクノクリエイティブ〒862－0954熊本市中央区神水2丁目9－1TECHNO-CREATIVEビルTEL：096－386－2360担当：高村、内田http://www.techno-creative.co.jp/
株式会社ミオソフト,6000万円,2億421万円(2016年1月期実績),"代表取締役　清水 正治",,,"〒532-0003　大阪市淀川区宮原4-1-6 アクロス新大阪 8F06-6394-9716／採用担当"
株式会社ヘイセイインテリジェンス,10万米ドル,96百万円(2014年度3月決算)65百万円(2013年度3月決算)66百万円(2012年度3月決算)60百万円(2011年度3月決算),久保則幸,,kitao@heisei-intelligence.com,新卒採用担当　北尾メール：kitao@heisei-intelligence.com電話：06-6534-7671
株式会社ブライセン,2億6300万7500円,□36億(2017年10月見込み）□17億5000万円（2016年10月実績)　※事業年度変更のため7ヶ月の変則決算）□23億9447万3000円（2015年3月実績）□17億9806万8000円（2014年3月実績）□16億6998万8000円（2013年3月実績）,代表取締役社長　藤木優【藤木社長はこんな人！】■ベトナムへの想い…小学生の時に、ベトナム戦争の悲惨な状況をテレビや学校の先生などから聞き、「チャンスがあればいつか自分もベトナムに行き、現地の人たちの力になりたい！」と幼いながらに強く感じたことが、藤木がベトナムに興味を持つようになったきっかけ。約20年前に、たまたまた参加した経営者会でベトナムを支援している方に出会い、「子供の頃は何もしてあげられなかったけれど、今の自分ならきっと力になれるはず」と一念発起し、ブライセンのベトナム進出を決意しました。■人と人とのつながり…以前、仕事を通して親しくなったロシア企業の社長夫妻に子どもが生まれることになり、その名付け親になってほしいと頼まれたことがありました。藤木は、ロシアの友人の願いを快く引き受け、忙しい仕事の合間にロシアへ出発。現地の宗教方式に則り大きな教会で洗礼を受け、赤ちゃんの名付け親になったほど、人と人とのつながりを大切にしています。ちなみに、その赤ちゃんに付けた名前は「ユキティーマ」。藤木が尊敬する日本の戦国武将の1人、真田幸村から「ゆき」の文字を引用しました。ブライセンに古くから根付いている「人のために」という風土には、人と人とのつながりを大切にする社長の人柄が強く影響しているのかもしれません。,http://www.brycen.co.jp,recruit@brycen.co.jp,"【お問い合わせ先】採用担当□TEL…03-6264-7221（代表）□E-mail…recruit@brycen.co.jp【本社所在地】〒104-6591東京都中央区明石町8番1号　　　　　聖路加タワー30階□東京メトロ日比谷線「築地」　3番出口より徒歩7分 □東京メトロ有楽町線 「新富町」駅 6番出口より徒歩8分 【ホームページ】□URL…http://www.brycen.co.jp/"
日本自動化開発株式会社,7200万円,2016年2月期　87.5億円2015年2月期　81.5億円2014年2月期　76.1億円2013年2月期　64.8億円,代表取締役社長/金井　政博,,,"東京都台東区台東4-19-9　山口ビル7　9F　〒110-0016 (JAD本社)担当/人事部:岡本TEL:03-3834-0701(代)FAX:03-3834-0705E-mail/saiyou@jadc.co.jp交通機関/JR山手線:御徒町駅より徒歩5分、東京メトロ日比谷線:仲御徒町駅より徒歩3分、都営地下鉄大江戸線・つくばエクスプレス線:新御徒町駅より徒歩5分"
株式会社テクノアスカ,2000万円,16億円(2017年5月期実績）,代表取締役　大井　旭,http://www.t-ask.co.jp,,株式会社テクノアスカ　採用係〒460-0008　愛知県名古屋市中区栄4-14-5　松下中日ビル【ホームページ】http://www.t-ask.co.jp/【Facebook】https://www.facebook.com/TekunoAsuka【問い合わせ先】●TEL/052-251-9596　●MAIL/t-soumu@t-ask.co.jp
株式会社シーエーシー,4億円,216億9500万円（2016年12月期）,代表取締役社長　酒匂　明彦,http://www.cac.co.jp,,"〒103-0015 東京都中央区日本橋箱崎町24-1 人事部　採用担当　前田、山田、渡邊tel:0120-411-073 mailto:recruit@cac.co.jp URL:http://www.cac.co.jp/recruit/ 【アクセス】東京メトロ半蔵門線「水天宮前」駅(2番出口)徒歩1分 ※詳細は当社Webサイト「会社情報」→「地図」をご覧ください。 http://www.cac.co.jp/company/company6.html"
株式会社ヴィンクス,5億9603万円,270億9439万円　（2016年3月期）,代表取締役　社長執行役員　藤田　俊哉,http://www.vinx.co.jp,jimukyoku1@vinx.co.jp,"■採用窓口人財開発部　採用課※説明会開催場所は下記とは異なる場合がありますのでご注意ください。〒101-0041 東京都千代田区神田須田町2-7 NKビルTEL：03-5209-7386MAIL：jimukyoku1@vinx.co.jpH P ：http://www.vinx.co.jp/"
株式会社シティ・コム,1000万円,"　決算期　　　　　売上高_______________________________2017年1月　　22億2255万円2016年1月　　21億9024万円2015年1月　　18億2741万円2014年1月　　17億1409万円2013年1月　　14億7391万円※決算期：1月　事業年度は2月～翌年1月　 例：決算期2017年1月は2016年2月～2017年1月","瓦谷 仁",http://www.citycom,,"■大阪オフィス〒532-0011大阪市淀川区西中島6-1-1　新大阪プライムタワー15ＦTEL:06-6309-9920　採用担当：内田MAIL:recruit18@citycom.co.jp■東京オフィス 〒163-0511東京都新宿区西新宿1-26-2　新宿野村ビル11FTEL:03-6911-3688　採用担当：佐藤MAIL:recruit18@citycom.co.jp《コーポレートサイト》http://www.citycom.co.jp/《新卒採用サイト》http://www.citycom.co.jp/recruit/《新卒採用Facebook》https://www.facebook.com/citycom.recruit/"
医療システムズ株式会社,6000万円,195000万円（2016年3月）,"代表取締役社長　柳井 保平",http://www.mds-ipnet.co.jp,mdsjinji@mds-ipnet.co.jp,"医療システムズ株式会社　人事総務部　採用担当　名雪・吉岡・勝山〒171-0031　東京都豊島区目白2-16-20　TCS-HD南池袋ビル TEL : 03-5950-5111 E-mail : mdsjinji@mds-ipnet.co.jp URL : http://www.mds-ipnet.co.jp"
日本ソフト開発株式会社,1億9000万円,16億8400万円(2017年5月実績),"代表取締役会長兼社長　藤田 義嗣",http://www.nihonsoft.co.jp,recruit@nihonsoft.co.jp,"日本ソフト開発株式会社事業管理部 社長室　 採用担当　　丸岡 ・ 川崎所在地：滋賀県米原市米原西２３番地（ＪＲ米原駅新幹線西出口前）URL：　http://www.nihonsoft.co.jp/メール：　recruit@nihonsoft.co.jp電　話：　0749-52-3811　（平日 9：00～12：00、12：45～17：30）お気軽にご連絡ください。"
株式会社イーエフユーアドウィス,2000万円,9億2000万円(2016年12月実績）　★右肩上がり継続中!!10億5000万円（2017年12見込）,"代表取締役社長　加藤 文和",http://www.efu-addwis.co.jp,,"株式会社イーエフユーアドウィスURL…http://www.efu-addwis.co.jp/index.html【大阪オフィス】〒550-0004　大阪府大阪市西区靱本町1-4-8 本町KAZビル503号TEL：06-6225-7721【東京オフィス】〒101-0048　東京都千代田区神田司町2-7 福禄ビル9階TEL：03-5283-7747"
株式会社アイヴィス,5000万円,36億円（平成29年3月実績）,代表取締役　石和田雄二　　　　　,http://www.ivis.co.jp,saiyou@ml.ivis.co.jp,"〒113-0033　東京都文京区本郷3-6-6　本郷OGI BLDG.採用センター／新卒採用担当□TEL 03-5800-0780（代表）　□e-mail saiyou@ml.ivis.co.jp□URLhttp://www.ivis.co.jp/ □交通機関（本社）JR中央線・総武線御茶ノ水駅より／徒歩8分営団地下鉄丸ノ内線本郷三丁目駅／徒歩7分都営大江戸線本郷三丁目駅／徒歩7分 "
株式会社テクノア,7280万円,"30億3920万円（2016年2月）30億0100万円（2015年2月）24億9000万円（2014年2月） 19億7000万円（2013年2月）17億7000万円（2012年2月）15億1000万円（2011年2月）12億9000万円（2010年2月）　2015年売上構成：SI（業務用ソフトウェア受託開発・販売）20％、自社開発の専用パッケージソフト販売75％、他5％","代表取締役　山崎 耕治",http://www.technoa.co.jp,,"●住所／〒500-8364　岐阜市本荘中ノ町8-8-1●ＴＥＬ／058-273-1445 ●ＦＡＸ／058-273-9562●担当者／後藤※ホームページURL　http://www.technoa.co.jp/"
日本システムウエア株式会社,55億円,306億6700万円(2017年3月期)　※連結,代表取締役執行役員社長　多田　尚二,http://www.nsw.co.jp,deai@gw.nsw.co.jp,◆総務人事部　〒150-8577　東京都渋谷区桜丘町31-11　TEL:03-3770-0313(総務人事部)　／　E-Mail:deai@gw.nsw.co.jp◆ホームページ　　http://www.nsw.co.jp/
関西総合システム株式会社,3000万円,68000万円,代表取締役　金田　高司,,,"〒556-0017大阪市浪速区湊町1丁目2番3号　マルイト難波ビル14FTEL　　 06-4396-5320担当　　総務部 瀬羅（せら）"
富士ソフト株式会社,262億28万円／2014年12月期,"単体：1008億78百万円 （2016年12月期）連結：1642億18百万円 （2016年12月期）",代表取締役社長執行役員　坂下　智保,http://www.fsi.co.jp,fsi2018@syukatsu.jp,"富士ソフト株式会社人事部 新卒採用窓口〒231-8008神奈川県横浜市中区桜木町1-1TEL(フリーダイヤル)：0120-006-281※電話受付は9：00～18：00.mail：fsi2018@syukatsu.jpURL：http://www.fsi.co.jp/Facebook：https://www.facebook.com/FUJISOFT.japan"
株式会社ワークスアプリケーションズ,3626506千円,"40786 百万円 ※2016年6月末時点（ 19年連続増収 / 連結実績 ）",代表取締役最高経営責任者(CEO)　牧野正幸代表取締役最高執行責任者(COO)　阿部孝司代表取締役最高技術責任者(CTO)　石川芳郎,http://www.worksap.co.jp,shinsotsu-saiyo@worksap.co.jp,"【住所】東京都港区赤坂1-12-32　アーク森ビル19F 【交通】東京メトロ南北線「六本木一丁目」駅 徒歩2分 東京メトロ南北線・銀座線「溜池山王」駅 徒歩4分 【問い合わせ窓口】TEL：03-6229-1231（受付時間：10:00～18:00）e-mail：shinsotsu-saiyo@worksap.co.jp※ホームページもご覧下さい http://www.worksap.co.jp/（企業情報） http://career.worksap.co.jp/（採用情報）http://www.worksap.co.jp/hue/（製品情報）"
クオリサイトテクノロジーズ株式会社,1億円,,代表取締役社長　小森　彦太郎,,saiyo@qualysite.co.jp,"【沖縄採用】〒905-2172 沖縄県名護市豊原195番地3 みらい2号館クオリサイトテクノロジーズ株式会社　新卒採用担当　喜友名TEL: 0980-50-0600E-mail: saiyo@qualysite.co.jp【北海道採用】〒060-0003 北海道札幌市中央区北3条西4丁目1-1　日本生命札幌ビル13階クオリサイトテクノロジーズ株式会社　北海道開発センター　新卒採用担当　江川TEL: 011-207-2485E-mail: saiyo@qualysite.co.jp"
ＮＥＣソリューションイノベータ株式会社,86億6800万円,2557億3400万円,代表取締役　執行役員社長　杉山　清,https://www.nec-solutioninnovators.co.jp,,東京都江東区新木場1-18-7　〒136-8627人財企画部　採用グループ【フリーダイヤル】0120-30-2445【携帯から】03-5534-2767【お問合せフォーム】https://www.nec-solutioninnovators.co.jp/recruit/inquiry.html【採用ＨＰ】http://www.nec-solutioninnovators.co.jp/saiyo/index.html【交通機関】JR京葉線、東京メトロ有楽町線、りんかい線「新木場駅」下車徒歩約3分
Ｓｋｙ株式会社,4億5000万円,"476.8億円 （2017年3月期）",代表取締役　大浦淳司,https://www.skygroup.jp,,"Ｓｋｙ株式会社　リクルーティンググループ【採用本部】〒108-0075 東京都港区港南2丁目18番1号 JR品川イーストビル9階 ＜TEL＞03-5860-6122　（直通）【大阪本社】〒532-0003 大阪市淀川区宮原3丁目4番30号 ニッセイ新大阪ビル20階 ＜TEL＞06-4807-6301 　（直通）【名古屋支社】〒450-6339名古屋市中村区名駅一丁目1番1号 JPタワー名古屋 39階＜TEL＞052-446-8922　（直通）＜Mail＞jinji2@skygroup.jp＜URL＞: https://www.skygroup.jp/※電話受付時間　　月曜日から金曜日　9：00～17：30　（祝日を除く）"
スミセイ情報システム株式会社,3億円,262億円（2016年3月期）,"代表取締役社長　下村 弘之",https://mypage.plus.i-web.jp,,"スミセイ情報システム　人事部採用担当　【大阪本社】〒532-0003大阪市淀川区宮原4-1-14　住友生命新大阪北ビル5階　TEL:06-6396-3935【東京本社】〒160-0023東京都新宿区西新宿6-14-1　新宿グリーンタワービル12階　TEL:03-3348-6287★新卒採用マイページはコチラ★ 　「スミセイ情報　採用」または「so fun 採用」で検索！　https://mypage.plus.i-web.jpn.com/slc2018/"
"株式会社 ジェイマックシステム",3000万円,20億5千万円（2016年6月期実績）,代表取締役　古瀬　司,http://www.j-mac.co.jp,,"株式会社　ジェイマックシステム新卒採用グループrecruit@j-mac.co.jp〒060-0034北海道札幌市中央区北4条東1丁目2-3 札幌フコク生命ビル10FTEL：011-221-6262Webサイト：http://www.j-mac.co.jp/"
株式会社フューチャーインフィニティ,6千万円（子会社と合わせて1億5千円）,２０１６年６月期　１８億１０００万円２０１５年６月期　１６億００００万円２０１４年６月期　１５億８３００万円,代表取締役社長　上林　宏充,http://www.fuin.co.jp,,"〒532-0012　大阪市淀川区木川東4-16-20採用担当/内田　TEL:0120-21-4501http://www.fuin.co.jpお問い合わせ：https://www.fuin.co.jp/contact/index.html より、お願いします。※ご質問等がございましたら気軽にお問い合わせください。※詳細な会社情報は当社ホームページをご覧ください。"
株式会社フォーカスシステムズ,29億500万円(平成29年3月現在),178億4600万円(平成29年3月実績),"代表取締役社長　　森 啓一",,saiyou18@focus-s.com,"株式会社フォーカスシステムズ　人事部学生専用Tel：0120-44-3205E-Mail:saiyou18@focus-s.com〒141-0022東京都品川区東五反田2-7-8　フォーカス五反田ビル　（JR山手線、都営浅草線 五反田駅　徒歩5分）"
"株式会社 日比谷コンピュータシステム",9000万円,43億5005万円(2016年3月期),加藤　俊彦,http://www.hibiya-cs.co.jp,soutarou.fukushi@hibiya-cs.co.jp,"株式会社日比谷コンピュータシステム採用担当〒135-0016東京都江東区東陽二丁目4番38号　東陽町H.C.S.ビルTEL：03-5690-4701E-mail： soutarou.fukushi@hibiya-cs.co.jpURL： http://www.hibiya-cs.co.jp/"
三菱電機コントロールソフトウェア株式会社,3億円,"263億円 （2017年3月 実績）248億円 （2016年3月 実績）233億円 （2015年3月 実績）","取締役社長　 池田 一成",http://www.mcr.co.jp,saiyomcr@mj.MitsubishiElectric.co.jp,"〒650-0027神戸市中央区中町通２丁目１番１８号　ＪＲ神戸駅ＮＫビル　１２階総務部 採用担当電話：078-360-4361Mail： saiyomcr@mj.MitsubishiElectric.co.jpＭＣＲ採用ＨＰ：http://www.mcr.co.jp/recruitment/"
株式会社Ｉ２Ｃ,"4780万円 (内資本準備金1140万円)",13.5億円（2015年3月期）　※グループ全体,代表取締役　堀　剛明,http://www.i2c.jp,,株式会社Ｉ２Ｃ（アイ・トゥー・シー）■東京本社東京都港区海岸1丁目11-1　ニューピア竹芝ノースタワー　22階交通:ＪＲ「浜松町駅」徒歩7分TEL:03-6432-4970■大阪オフィス大阪府大阪市北区大深町3-1　グランフロント大阪タワーB　16階交通:JR「大阪駅」直結TEL:06-6225-8548■福岡オフィス福岡県福岡市中央区天神5丁目5-2　さくらビル　2階交通:西鉄「福岡駅」徒歩5分TEL:092-726-6083■ホームページURL:http://www.i2c.jp
株式会社エムコスミック,2700万円,11億3200万円（2015年3月度）,代表取締役　三嶋　三好,,,■採用担当連絡先〒103-0026東京都中央区日本橋兜町3-3　兜町平和ビル5F03-5643-2313　新卒採用担当saiyo@mcosmic.co.jp
株式会社ディー・オー・エス,2400万円,2014年度　12億2500万円,"代表取締役 追立富男",http://www.dos-osaka.co.jp,recruit@dos-osaka.co.jp,"新卒採用担当〒550-0002　大阪市西区江戸堀1丁目15番27号 アルテビル肥後橋3階0120-974-415(フリーダイヤル）　　06-6444-3166（採用担当）E-mail:recruit@dos-osaka.co.jp【本社までの交通】大阪市営四つ橋線「肥後橋」駅より　徒歩2分 【ホームページ】http://www.dos-osaka.co.jp/【会社概要】http://www.dos-osaka.co.jp/profile.html【がんばる新人くん】http://employee.dos-osaka.co.jp/"
株式会社ナノコネクト,1億7485万円（3億2970万円　資本準備金含む）,非公開,代表取締役CEO　木島　貴志,http://nanoconnect-recruit.com,,"【神戸本社】〒 650-0024兵庫県神戸市中央区海岸通2-2-3　サンエービル5F（総合受付）6F（開発フロア）TEL：078-331-6333担当：矢根（やね）採用HP：http://nanoconnect-recruit.com/"
株式会社ビッツ,1億円,24億1125万円（2015年3月期）,代表取締役社長　加賀谷龍一,https://www.bits.co.jp,,"■本社・東京事業所〒141-0031東京都品川区西五反田8-11-13　五反田マークビル担当：工（たくみ）、松本、高橋TEL 03-3779-2120■東北事業所〒980-6016宮城県仙台市青葉区中央4-6-1　住友生命仙台中央ビル16F担当：長瀬、遠藤TEL 022-224-5538■関西事業所〒550-0013大阪府大阪市西区新町1-32-11　なにわ筋ファーストビル5F担当：東（ひがし）、垣原TEL 06-6533-5990ビッツHPhttps://www.bits.co.jp/採用特設サイトhttps://www.bits.co.jp/recruit/"
イーソル株式会社,"2億6500万円 （2005年9月29日変更）","6402百万円 （2016年12月期）",代表取締役社長　長谷川　勝敏,,,"〒164-8721　東京都中野区本町1-32-2　ハーモニータワーイーソル株式会社 管理部人事課　採用担当宛 TEL:0120-18-1096(平日9:30～17:00)"
株式会社ゼクシス,9600万円,18.1億円(平成28年3月実績),代表取締役社長　久本　正幸,http://www.zexis.co.jp,shinoh@zexis.co.jp,"【大阪本社　採用窓口】　　〒540-0031　　大阪市中央区北浜東4番33号　北浜ネクスビル　30階　　担当/人事部　　TEL:06-6355-4187(代) FAX:06-6355-4487　　E-mail:shinoh@zexis.co.jp　　URL:http://www.zexis.co.jp"
株式会社セカンドセレクション,2000万円,2億600万円(2016年9月実績）1億9100万円(2015年9月実績）1億8100万円(2014年9月実績）1億6200万円(2013年9月実績）1億3600万円(2012年9月実績）※詳細は、弊社ホームページ参照,"代表取締役　井村 喜洋",,,"〒530-0005大阪市北区中之島2-2-2 大阪中之島ビル13FTEL:06-6232-1618FAX:06-6115-8803採用担当：鈴木まで"
株式会社ケーイーアイシステム,2900万円,4億3700万円(2016年9月現在),代表取締役社長　山本　和孝,,,"〒544-0024大阪府大阪市生野区生野西１丁目１番５号TEL 06-6712-1151(代表)FAX 06-6712-1311"
株式会社アイティフォース,1000万円,7.2億円,前田　眞,https://www.itforce.jp,,"株式会社アイティフォース【本社／大阪事業所】 　大阪府大阪市西区西本町１丁目１５番１０号 辰野西本町ビル　９階　TEL：06-6531-0380　採用担当まで　＜アクセス＞　大阪市営地下鉄四つ橋線「本町」駅　24番出口西へ徒歩5分（中央大通り沿い）【東京事業所】 　東京都中央区東日本橋２丁目２４番７号　東日本橋ビル　７階　TEL：03-5821-8488　採用担当まで　＜アクセス＞　JR総武本線「浅草橋」駅 東口より 徒歩6分　都営浅草線「東日本橋」駅 B3出口より 徒歩4分ホームページ：https://www.itforce.jp/contact/index.html"
株式会社図研,101億1706万円（東証一部上場）,221億9900万円（2017年3月期実績）,"代表取締役社長　金子 真人",http://www.zuken.co.jp,recruit@zuken.co.jp,"株式会社　図研 総務人事部　新卒採用チーム 〒224-8585 神奈川県横浜市都筑区荏田東2-25-1 TEL:045-942-1598 mail:recruit@zuken.co.jp ★最新情報が満載です。図研ホームページ：http://www.zuken.co.jp/図研facebookページ：https://www.facebook.com/zukenrecruit"
センコー情報システム株式会社,6000万円,37億7000万円（2016年3月期）,代表取締役社長　川瀬由洋,http://www.sis.senko.co.jp,,センコー情報システム株式会社本社：〒581-0813　大阪府八尾市泉町2丁目58番地TEL：072-995-1202採用担当：内田ホームページ：http://www.sis.senko.co.jp/recruit/
DIRインフォメーションシステムズ株式会社,4億円,57.4億円（2015年3月期）,代表取締役社長　園田　壽信,http://www.dir-is.co.jp,recruit2018@dir-is.co.jp,"〒135-0034東京都江東区永代1-14-6　大和永代ビルDIRインフォメーションシステムズ株式会社　経営企画部　人事課　採用担当　加藤・下村・谷口（やぐち）　TEL ： 03-6365-2654 （平日9時 ～ 17時）　E-mail ： recruit2018@dir-is.co.jp　URL ： http://www.dir-is.co.jp/"
